ticker,event_date,source_category,source_name,source_url,raw_list_type,raw_status_list_id,event_type,severity,evidence_status,confidence_raw,raw_title,raw_text,fetch_time,notes
PTL,2026-05-05,hose,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,WARNING_LIST,33,WARNING_LIST,medium,SOURCE_CONFIRMED_WARNING,high,Công ty Cổ phần Victory Group,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính hợp nhất năm 2025 đã được kiểm toán của tổ chức niêm yết.,2026-06-05T04:41:52+00:00,parsed from official/public status list; no disclosure fact fabricated
DTA,2026-04-24,hose,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,WARNING_LIST,33,WARNING_LIST,medium,SOURCE_CONFIRMED_WARNING,high,Công ty Cổ phần Đệ Tam,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm 2025 đã được kiểm toán của tổ chức niêm yết.,2026-06-05T04:41:52+00:00,parsed from official/public status list; no disclosure fact fabricated
VMD,2026-04-24,hose,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,WARNING_LIST,33,WARNING_LIST,medium,SOURCE_CONFIRMED_WARNING,high,Công ty Cổ phần Y Dược phẩm Vimedimex,Tổ chức niêm yết vi phạm quy định công bố thông tin từ 04 lần trở lên trong vòng 1 năm.,2026-06-05T04:41:52+00:00,parsed from official/public status list; no disclosure fact fabricated
VMD,2026-04-24,hose,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,WARNING_LIST,33,WARNING_LIST,medium,SOURCE_CONFIRMED_WARNING,high,Công ty Cổ phần Y Dược phẩm Vimedimex,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính hợp nhất năm 2025 đã được kiểm toán của tổ chức niêm yết.,2026-06-05T04:41:52+00:00,parsed from official/public status list; no disclosure fact fabricated
PTL,2026-04-23,hose,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,WARNING_LIST,33,WARNING_LIST,medium,SOURCE_CONFIRMED_WARNING,high,Công ty Cổ phần Victory Group,Tổ chức niêm yết chậm nộp báo cáo tài chính năm 2025 đã được kiểm toán quá 15 ngày so với thời hạn quy định.,2026-06-05T04:41:52+00:00,parsed from official/public status list; no disclosure fact fabricated
LDG,2025-04-11,hose,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,WARNING_LIST,33,WARNING_LIST,medium,SOURCE_CONFIRMED_WARNING,high,Công ty Cổ phần Đầu tư LDG,"Lợi nhuận sau thuế năm 2025 không âm, còn lỗ lũy kế tại ngày 31/12/2025 và ý kiến kiểm toán là ý kiến chấp nhận toàn phần căn cứ BCTC Hợp nhất kiểm toán năm 2025.",2026-06-05T04:41:52+00:00,parsed from official/public status list; no disclosure fact fabricated
VCA,2026-04-14,hose,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,WARNING_LIST,33,WARNING_LIST,medium,SOURCE_CONFIRMED_WARNING,high,Công ty Cổ phần Thép VICASA,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm 2025 đã được kiểm toán của tổ chức niêm yết.,2026-06-05T04:41:52+00:00,parsed from official/public status list; no disclosure fact fabricated
VCA,2026-04-14,hose,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,WARNING_LIST,33,WARNING_LIST,medium,SOURCE_CONFIRMED_WARNING,high,Công ty Cổ phần Thép VICASA,Lợi nhuận sau thuế chưa phân phối trên BCTC kiểm toán năm 2025 là số âm.,2026-06-05T04:41:52+00:00,parsed from official/public status list; no disclosure fact fabricated
VPG,2026-04-14,hose,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,WARNING_LIST,33,WARNING_LIST,medium,SOURCE_CONFIRMED_WARNING,high,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm 2025 đã được kiểm toán của tổ chức niêm yết.,2026-06-05T04:41:52+00:00,parsed from official/public status list; no disclosure fact fabricated
VPG,2026-04-14,hose,hose:warning_list,https://api.hsx.vn/l/api/v1/1/securities/stock-status?pageIndex=1&pageSize=500&statusListId=33,WARNING_LIST,33,WARNING_LIST,medium,SOURCE_CONFIRMED_WARNING,high,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Lợi nhuận sau thuế chưa phân phối tại BCTC Hợp nhất kiểm toán năm 2025 là số âm.,2026-06-05T04:41:52+00:00,parsed from official/public status list; no disclosure fact fabricated
